,precision,recall,f1-score,support
Acne,0.13953488372093023,0.18461538461538463,0.15894039735099338,65.0
Actinic_Keratosis,0.14285714285714285,0.04819277108433735,0.07207207207207207,83.0
Benign_tumors,0.10526315789473684,0.049586776859504134,0.06741573033707865,121.0
Bullous,0.16279069767441862,0.12727272727272726,0.14285714285714285,55.0
Candidiasis,0.08433734939759036,0.25925925925925924,0.12727272727272726,27.0
DrugEruption,0.14285714285714285,0.09836065573770492,0.11650485436893204,61.0
Eczema,0.3333333333333333,0.25,0.2857142857142857,112.0
Infestations_Bites,0.05263157894736842,0.03333333333333333,0.04081632653061224,60.0
Lichen,0.19607843137254902,0.16393442622950818,0.17857142857142858,61.0
Lupus,0.06818181818181818,0.08823529411764706,0.07692307692307693,34.0
Moles,0.08974358974358974,0.175,0.11864406779661017,40.0
Psoriasis,0.24,0.20454545454545456,0.22085889570552147,88.0
Rosacea,0.125,0.35714285714285715,0.18518518518518517,28.0
Seborrh_Keratoses,0.22580645161290322,0.4117647058823529,0.2916666666666667,51.0
SkinCancer,0.13333333333333333,0.12987012987012986,0.13157894736842105,77.0
Sun_Sunlight_Damage,0.09090909090909091,0.17647058823529413,0.12,34.0
Tinea,0.1282051282051282,0.049019607843137254,0.07092198581560284,102.0
Unknown_Normal,0.6560509554140127,0.544973544973545,0.5953757225433526,189.0
Vascular_Tumors,0.14814814814814814,0.13333333333333333,0.14035087719298245,60.0
Vasculitis,0.09195402298850575,0.15384615384615385,0.11510791366906475,52.0
Vitiligo,0.24719101123595505,0.2682926829268293,0.2573099415204678,82.0
Warts,0.15463917525773196,0.234375,0.18633540372670807,64.0
accuracy,0.2056921086675291,0.2056921086675291,0.2056921086675291,0.2056921086675291
macro avg,0.17085665650388315,0.1882465766867497,0.16820107496313333,1546.0
weighted avg,0.2214553036082446,0.2056921086675291,0.20470416824490295,1546.0
